,support,itemsets
0,1.0,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'})
1,0.2402135231316726,frozenset({'G2_ИГРУШКИ'})
2,0.04804270462633452,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
3,0.2277580071174377,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'})
4,0.05871886120996441,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})
5,0.03202846975088968,frozenset({'G2_ОБУВЬ'})
6,0.5836298932384342,frozenset({'G2_ПОДГУЗНИКИ'})
7,0.13523131672597866,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
8,0.2277580071174377,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})
9,0.2402135231316726,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ИГРУШКИ'})"
10,0.04804270462633452,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
11,0.2277580071174377,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
12,0.05871886120996441,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})"
13,0.03202846975088968,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ОБУВЬ'})"
14,0.5836298932384342,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ПОДГУЗНИКИ'})"
15,0.13523131672597866,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
16,0.2277580071174377,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
17,0.0498220640569395,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
18,0.08896797153024912,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ'})"
19,0.04092526690391459,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
20,0.03202846975088968,"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
21,0.11921708185053381,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})"
22,0.03914590747330961,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
23,0.04092526690391459,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
24,0.0800711743772242,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
25,0.0498220640569395,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ИГРУШКИ'})"
26,0.08896797153024912,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ПОДГУЗНИКИ', 'G2_ИГРУШКИ'})"
27,0.04092526690391459,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ', 'G2_ИГРУШКИ'})"
28,0.03202846975088968,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
29,0.11921708185053381,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})"
30,0.03914590747330961,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
31,0.04092526690391459,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
32,0.0800711743772242,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
