,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'G2_ИГРУШКИ'}),"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})",1.0,0.16643209007741028,0.16643209007741028,0.16643209007741028,1.0,1.0,0.0,1.0,0.0,0.16643209007741028,0.0,0.5832160450387052
1,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})",frozenset({'G2_ИГРУШКИ'}),0.16643209007741028,1.0,0.16643209007741028,1.0,1.0,1.0,0.0,inf,0.0,0.16643209007741028,0.0,0.5832160450387052
2,frozenset({'G2_ИГРУШКИ'}),frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'}),1.0,0.0995777621393385,0.0995777621393385,0.0995777621393385,1.0,1.0,0.0,1.0,0.0,0.0995777621393385,0.0,0.5497888810696693
3,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'}),frozenset({'G2_ИГРУШКИ'}),0.0995777621393385,1.0,0.0995777621393385,1.0,1.0,1.0,0.0,inf,0.0,0.0995777621393385,0.0,0.5497888810696693
4,frozenset({'G2_ИГРУШКИ'}),frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'}),1.0,0.2227304714989444,0.2227304714989444,0.2227304714989444,1.0,1.0,0.0,1.0,0.0,0.2227304714989444,0.0,0.6113652357494722
5,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'}),frozenset({'G2_ИГРУШКИ'}),0.2227304714989444,1.0,0.2227304714989444,1.0,1.0,1.0,0.0,inf,0.0,0.2227304714989444,0.0,0.6113652357494722
6,frozenset({'G2_ИГРУШКИ'}),frozenset({'G2_ОБУВЬ'}),1.0,0.10978184377199156,0.10978184377199156,0.10978184377199156,1.0,1.0,0.0,1.0,0.0,0.10978184377199156,0.0,0.5548909218859958
7,frozenset({'G2_ОБУВЬ'}),frozenset({'G2_ИГРУШКИ'}),0.10978184377199156,1.0,0.10978184377199156,1.0,1.0,1.0,0.0,inf,0.0,0.10978184377199156,0.0,0.5548909218859958
8,frozenset({'G2_ИГРУШКИ'}),frozenset({'G2_ПОДГУЗНИКИ'}),1.0,0.20513722730471498,0.20513722730471498,0.20513722730471498,1.0,1.0,0.0,1.0,0.0,0.20513722730471498,0.0,0.6025686136523575
9,frozenset({'G2_ПОДГУЗНИКИ'}),frozenset({'G2_ИГРУШКИ'}),0.20513722730471498,1.0,0.20513722730471498,1.0,1.0,1.0,0.0,inf,0.0,0.20513722730471498,0.0,0.6025686136523575
10,frozenset({'G2_ИГРУШКИ'}),"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",1.0,0.24102744546094299,0.24102744546094299,0.24102744546094299,1.0,1.0,0.0,1.0,0.0,0.241027445460943,0.0,0.6205137227304715
11,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",frozenset({'G2_ИГРУШКИ'}),0.24102744546094299,1.0,0.24102744546094299,1.0,1.0,1.0,0.0,inf,0.0,0.241027445460943,0.0,0.6205137227304715
12,frozenset({'G2_ИГРУШКИ'}),frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),1.0,0.17733990147783252,0.17733990147783252,0.17733990147783252,1.0,1.0,0.0,1.0,0.0,0.17733990147783252,0.0,0.5886699507389163
13,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),frozenset({'G2_ИГРУШКИ'}),0.17733990147783252,1.0,0.17733990147783252,1.0,1.0,1.0,0.0,inf,0.0,0.17733990147783252,0.0,0.5886699507389163
